Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
UP,Calanus glacialis,Cii,333.33,1100.00,1370.00,1.10,1.37,6.59E+00,1.41E+01,,2.20E+03,4.69E+03,,,Calanus,2.99E+08,1.16E+08,,,,,,,,,,,,,,,
UP,Calanus glacialis,Ciii,83.49,1400.00,2000.00,1.40,2.00,1.51E+01,5.19E+01,,1.26E+03,4.33E+03,,,Calanus,2.24E+08,4.81E+07,,,,,,,,,,,,,,,
UP,Calanus glacialis,CiV,172.92,2000.00,2700.00,2.00,2.70,5.19E+01,1.46E+02,,8.97E+03,2.53E+04,,,Calanus,9.62E+08,2.63E+08,,,,,,,,,,,,,,,
UP,Calanus glacialis,CV,96.00,2700.00,3500.00,2.70,3.50,1.46E+02,3.58E+02,,1.40E+04,3.44E+04,,,Calanus,1.01E+09,3.29E+08,,,,,,,,,,,,,,,
UP,Calanus glacialis,F,12.31,3400.00,4800.00,3.40,4.80,3.24E+02,1.07E+03,,3.99E+03,1.31E+04,,,Calanus,3.16E+08,7.13E+07,,,,,,,,,,,,,,,
UP,Calanus glacialis,M,2.46,2000.00,4000.00,2.00,4.00,5.19E+01,5.68E+02,,1.28E+02,1.40E+03,,,Calanus,5.32E+07,2.67E+06,,,,,,,,,,,,,,,
UP,Calanus glacialis,Total,1182.29,,,,,,,,,,3.10E+04,8.55E+04,,#DIV/0!,#DIV/0!,3.11E+09,8.58E+08,,,,,,,,,,,,,
UP,Calanus hyperboreus,Ci,65.64,950.00,1500.00,0.95,1.50,6.19E+00,2.56E+01,"Forest et al., 2011",4.07E+02,1.68E+03,,,Calanus,1.09E+08,1.85E+07,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,Cii,1044.92,1500.00,2600.00,1.50,2.60,2.56E+01,1.41E+02,,2.67E+04,1.48E+05,,,Calanus,6.70E+09,7.92E+08,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,Ciii,712.45,2600.00,3500.00,2.60,3.50,1.41E+02,3.56E+02,,1.01E+05,2.53E+05,,,Calanus,7.50E+09,2.37E+09,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,CiV,321.48,3500.00,4200.00,3.50,4.20,3.56E+02,6.27E+02,,1.14E+05,2.01E+05,,,Calanus,4.73E+09,2.33E+09,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,CV,1650.54,4600.00,5400.00,4.60,5.40,8.31E+02,1.37E+03,,1.37E+06,2.26E+06,,,Calanus,4.29E+10,2.30E+10,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,F,757.99,6600.00,7200.00,6.60,7.20,2.55E+03,3.34E+03,,1.93E+06,2.53E+06,,,Calanus,3.64E+10,2.60E+10,,,,,,,,,,,,,,,
